"C, wt.%","Si, wt.%","Mn, wt.%","P, wt.%","S, wt.%","Ni, wt.%","Cr, wt.%","Mo, wt.%","Al, wt.%","N, wt.%","Ti, wt.%","Fe, wt.%","Nb, wt.%","B, wt.%","Cu, wt.%","V, wt.%","Zr, wt.%","W, wt.%","Sn, wt.%","Co, wt.%","O, wt,%","Ta, wt.%","As, wt%","Sb, wt.%",Length (mm),Width (mm),Thickness (mm),Test Temperature (C) ,Impact energy (J),DBTT,USE
0.2,0.24,1.38,0.011,0.005,0.52,0.06,0.3,0.068,0.0,0.0,97.184,0.032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,10.0,10.0,25.0772399588053,251.234567901234,-52.0,243.3800328513278
0.08,0.11,1.33,0.007,0.003,0.83,0.0,0.43,0.0,0.0,0.0,97.13,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,10.0,10.0,-54.9465681601524,22.4687933425796,-25.0,228.0253621135996
0.21,0.25,1.24,0.007,0.002,0.88,0.21,0.47,0.008,0.0,0.0,96.689,0.0,0.0,0.03,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,10.0,10.0,-40.2985074626865,46.7471143756558,-17.0,393.5655858822619
0.22,0.22,1.27,0.013,0.013,0.59,0.11,0.57,0.021,0.006,0.01,96.7756,0.0,0.0004,0.15,0.001,0.001,0.01,0.009,0.01,0.0,0.0,0.0,0.0,55.0,10.0,10.0,73.6301369863014,38.9955686853766,7.53,40.25748610860065
0.18,0.16,1.55,0.003,0.0014,0.64,0.16,0.5,0.0,0.0,0.0,96.7756,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,10.0,10.0,29.9489990467112,230.929264909847,-11.0,267.2479373375093
0.21,0.29,1.3,0.008,0.009,0.62,0.18,0.5,0.0,0.0,0.0,96.873,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,10.0,10.0,-17.3693086003372,69.2307692307692,7.0,164.9940040207791
0.19,0.23,1.41,0.006,0.006,0.77,0.11,0.5,0.0,0.0,0.0,96.738,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,10.0,10.0,-25.3234750462107,179.054054054054,-74.0,193.6701100610541
0.148,0.239,1.19,0.0,0.0,0.388,0.248,0.103,0.018,0.0,0.0,97.572,0.0,0.0,0.044,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,10.0,10.0,4.15904746072649,403.135260042762,-44.0,403.9565440358332
0.19,0.23,1.41,0.006,0.006,0.77,0.11,0.5,0.0,0.0,0.0,96.738,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,10.0,10.0,-100.369685767097,39.527027027027,-59.0,198.9703468926942
0.21,0.25,1.24,0.007,0.002,0.88,0.21,0.47,0.008,0.0,0.0,96.689,0.0,0.0,0.03,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,10.0,10.0,19.7663096397273,171.22969837587,6.0,308.3617748665546
