,Features
0,"C, wt.%"
1,"Si, wt.%"
2,"Mn, wt.%"
3,"P, wt.%"
4,"S, wt.%"
5,"Ni, wt.%"
6,"Cr, wt.%"
7,"Mo, wt.%"
8,"Al, wt.%"
9,"N, wt.%"
10,"Ti, wt.%"
11,"Fe, wt.%"
12,"Nb, wt.%"
13,"B, wt.%"
14,"Cu, wt.%"
15,"V, wt.%"
16,"Zr, wt.%"
17,"W, wt.%"
18,"Sn, wt.%"
19,"Co, wt.%"
20,"O, wt,%"
21,"Ta, wt.%"
22,"As, wt%"
23,"Sb, wt.%"
24,Length (mm)
25,Width (mm)
26,Thickness (mm)
27,Test Temperature (C) 
28,Impact energy (J)
29,DBTT
30,USE
31,W/T
32,L/T
33,Area
34,W/L
35,MagpieData minimum Number
36,MagpieData maximum Number
37,MagpieData range Number
38,MagpieData mean Number
39,MagpieData avg_dev Number
40,MagpieData mode Number
41,MagpieData minimum MendeleevNumber
42,MagpieData maximum MendeleevNumber
43,MagpieData range MendeleevNumber
44,MagpieData mean MendeleevNumber
45,MagpieData avg_dev MendeleevNumber
46,MagpieData mode MendeleevNumber
47,MagpieData minimum AtomicWeight
48,MagpieData maximum AtomicWeight
49,MagpieData range AtomicWeight
50,MagpieData mean AtomicWeight
51,MagpieData avg_dev AtomicWeight
52,MagpieData mode AtomicWeight
53,MagpieData minimum MeltingT
54,MagpieData maximum MeltingT
55,MagpieData range MeltingT
56,MagpieData mean MeltingT
57,MagpieData avg_dev MeltingT
58,MagpieData mode MeltingT
59,MagpieData minimum Column
60,MagpieData maximum Column
61,MagpieData range Column
62,MagpieData mean Column
63,MagpieData avg_dev Column
64,MagpieData mode Column
65,MagpieData minimum Row
66,MagpieData maximum Row
67,MagpieData range Row
68,MagpieData mean Row
69,MagpieData avg_dev Row
70,MagpieData mode Row
71,MagpieData minimum CovalentRadius
72,MagpieData maximum CovalentRadius
73,MagpieData range CovalentRadius
74,MagpieData mean CovalentRadius
75,MagpieData avg_dev CovalentRadius
76,MagpieData mode CovalentRadius
77,MagpieData minimum Electronegativity
78,MagpieData maximum Electronegativity
79,MagpieData range Electronegativity
80,MagpieData mean Electronegativity
81,MagpieData avg_dev Electronegativity
82,MagpieData mode Electronegativity
83,MagpieData minimum NsValence
84,MagpieData maximum NsValence
85,MagpieData range NsValence
86,MagpieData mean NsValence
87,MagpieData avg_dev NsValence
88,MagpieData mode NsValence
89,MagpieData minimum NpValence
90,MagpieData maximum NpValence
91,MagpieData range NpValence
92,MagpieData mean NpValence
93,MagpieData avg_dev NpValence
94,MagpieData mode NpValence
95,MagpieData minimum NdValence
96,MagpieData maximum NdValence
97,MagpieData range NdValence
98,MagpieData mean NdValence
99,MagpieData avg_dev NdValence
100,MagpieData mode NdValence
101,MagpieData minimum NfValence
102,MagpieData maximum NfValence
103,MagpieData range NfValence
104,MagpieData mean NfValence
105,MagpieData avg_dev NfValence
106,MagpieData mode NfValence
107,MagpieData minimum NValence
108,MagpieData maximum NValence
109,MagpieData range NValence
110,MagpieData mean NValence
111,MagpieData avg_dev NValence
112,MagpieData mode NValence
113,MagpieData minimum NsUnfilled
114,MagpieData maximum NsUnfilled
115,MagpieData range NsUnfilled
116,MagpieData mean NsUnfilled
117,MagpieData avg_dev NsUnfilled
118,MagpieData mode NsUnfilled
119,MagpieData minimum NpUnfilled
120,MagpieData maximum NpUnfilled
121,MagpieData range NpUnfilled
122,MagpieData mean NpUnfilled
123,MagpieData avg_dev NpUnfilled
124,MagpieData mode NpUnfilled
125,MagpieData minimum NdUnfilled
126,MagpieData maximum NdUnfilled
127,MagpieData range NdUnfilled
128,MagpieData mean NdUnfilled
129,MagpieData avg_dev NdUnfilled
130,MagpieData mode NdUnfilled
131,MagpieData minimum NfUnfilled
132,MagpieData maximum NfUnfilled
133,MagpieData range NfUnfilled
134,MagpieData mean NfUnfilled
135,MagpieData avg_dev NfUnfilled
136,MagpieData mode NfUnfilled
137,MagpieData minimum NUnfilled
138,MagpieData maximum NUnfilled
139,MagpieData range NUnfilled
140,MagpieData mean NUnfilled
141,MagpieData avg_dev NUnfilled
142,MagpieData mode NUnfilled
143,MagpieData minimum GSvolume_pa
144,MagpieData maximum GSvolume_pa
145,MagpieData range GSvolume_pa
146,MagpieData mean GSvolume_pa
147,MagpieData avg_dev GSvolume_pa
148,MagpieData mode GSvolume_pa
149,MagpieData minimum GSbandgap
150,MagpieData maximum GSbandgap
151,MagpieData range GSbandgap
152,MagpieData mean GSbandgap
153,MagpieData avg_dev GSbandgap
154,MagpieData mode GSbandgap
155,MagpieData minimum GSmagmom
156,MagpieData maximum GSmagmom
157,MagpieData range GSmagmom
158,MagpieData mean GSmagmom
159,MagpieData avg_dev GSmagmom
160,MagpieData mode GSmagmom
161,MagpieData minimum SpaceGroupNumber
162,MagpieData maximum SpaceGroupNumber
163,MagpieData range SpaceGroupNumber
164,MagpieData mean SpaceGroupNumber
165,MagpieData avg_dev SpaceGroupNumber
166,MagpieData mode SpaceGroupNumber
167,Total_Alloy_wt
168,Embrittling_Elements
169,Toughness_Enhancers
170,Hardener_Elements
171,Aging_Sensitive
172,Carbon_Equivalent
173,Fe_Deficit
174,C_Mn
175,Cr_Mo_V_Ni
176,NiMn_to_CrMoV
177,Ni_to_Fe
178,Cr_to_Fe
179,Mo_to_Fe
180,Volume
181,Surface_Area
182,Compactness
183,Impact_energy_per_Area
184,Impact_energy_per_Volume
185,Elemental_count
186,Std_dev_wt
187,Shannon_entropy_composition
188,C_times_Mn
189,Mn_times_Cr
190,Ni_times_Mo
191,Solid_solution_strengthening
192,Hardness_index
