y_true,y_pred,abs_error,abs_error_percetage,nll,v,alpha,beta,abs_error_percentage
0.18,-50.62395,50.80395095825195,50.80395095825195,2.1649723,0.008035916,1.0006,0.0021128622,28224.417199028863
0.18,-33.078663,33.25866287231445,33.25866287231445,1.4796956,0.019588681,1.0022827,0.0039275815,18477.034929063586
-0.68,-9.449761,8.769761390686035,8.769761390686035,0.1268669,0.030657468,1.0255171,0.00045477904,1289.6707927479463
10.0,-29.169323,39.1693229675293,39.1693229675293,2.5523167,0.018316586,1.0052493,0.0010964035,391.69322967529297
2.48,-4.1533327,6.633332710266114,6.633332710266114,4.3989897,0.010250176,1.3635216,1.4919418e-06,267.47309315589166
2.48,-4.051137,6.53113697052002,6.53113697052002,3.0845952,0.012024482,1.1824201,2.8765633e-06,263.3522971983879
12.0,-18.756416,30.75641632080078,30.75641632080078,4.3074284,0.026954463,1.0788128,0.00014002691,256.30346934000653
-5.0,3.7963855,8.796385526657104,8.796385526657104,3.3632505,0.009218395,1.0656457,2.8430122e-06,175.9277105331421
-21.0,15.207961,36.207961082458496,36.207961082458496,1.6242204,0.0040219994,1.0000091,0.00082540675,172.4188622974214
-21.0,13.700923,34.70092296600342,34.70092296600342,1.4437385,0.003666904,1.0000061,0.0010628499,165.242490314302
-2.0,0.5765522,2.5765522122383118,2.5765522122383118,-0.977564,0.023619752,1.0108985,0.00029031938,128.8276106119156
-52.0,12.1976,64.19760036468506,64.19760036468506,9.786539,0.0057335855,1.0571698,1.3500958e-06,123.4569237782405
6.0,-0.96323127,6.963231265544891,6.963231265544891,1.0436847,0.015031029,1.0346817,2.3000743e-05,116.05385442574818
-40.0,-85.00106,45.001060485839844,45.001060485839844,5.814296,0.002679217,1.0246625,8.3794575e-06,112.50265121459961
-5.0,-10.457389,5.457388877868652,5.457388877868652,-0.4905318,0.031449806,1.0317569,0.00041123494,109.14777755737305
-43.0,-89.31179,46.311790466308594,46.311790466308594,8.136657,0.0015079802,1.1648285,1.1879835e-06,107.70183829374092
-43.0,-87.54513,44.545127868652344,44.545127868652344,5.800541,0.0017556585,1.0117482,5.104501e-06,103.59332062477289
-28.0,-56.194126,28.19412612915039,28.19412612915039,7.6804786,0.0075141145,1.3090664,4.0967648e-06,100.69330760410854
-43.0,-85.86611,42.866111755371094,42.866111755371094,8.410392,0.0018221005,1.2200283,1.2074886e-06,99.6886319892351
